2.78,-0.93533,0.556,0.35376,0.070753,-4.3508,-0.070753
2.8,-0.94222,0.56,0.33499,0.066998,-4.3708,-0.066998
2.82,-0.94873,0.564,0.31608,0.063216,-4.3908,-0.063216
2.84,-0.95486,0.568,0.29704,0.059408,-4.4108,-0.059408
2.86,-0.96061,0.572,0.27789,0.055577,-4.4308,-0.055577
2.88,-0.96598,0.576,0.25862,0.051724,-4.4508,-0.051724
2.9,-0.97096,0.58,0.23925,0.04785,-4.4708,-0.04785
2.92,-0.97555,0.584,0.21978,0.043957,-4.4908,-0.043957
2.94,-0.97975,0.588,0.20023,0.040046,-4.5108,-0.040046
2.96,-0.98356,0.592,0.1806,0.036119,-4.5308,-0.036119
2.98,-0.98697,0.596,0.16089,0.032178,-4.5508,-0.032178
3,-0.98999,0.6,0.14112,0.028224,-4.5708,-0.028224
3.02,-0.99262,0.604,0.12129,0.024259,-4.5908,-0.024259
3.04,-0.99484,0.608,0.10142,0.020284,-4.6108,-0.020284
3.06,-0.99667,0.612,0.081502,0.0163,-4.6308,-0.0163
3.08,-0.9981,0.616,0.061554,0.012311,-4.6508,-0.012311
3.1,-0.99914,0.62,0.041581,0.0083161,-4.6708,-0.0083161
3.12,-0.99977,0.624,0.021591,0.0043182,-4.6908,-0.0043182
3.14,-1,0.628,0.0015927,0.00031853,-4.7108,-0.00031853
3.16,-0.99983,0.632,-0.018406,-0.0036813,-4.7308,0.0036813
3.18,-0.99926,0.636,-0.038398,-0.0076796,-4.7508,0.0076796
3.2,-0.99829,0.64,-0.058374,-0.011675,-4.7708,0.011675
3.22,-0.99693,0.644,-0.078327,-0.015665,-4.7908,0.015665
3.24,-0.99516,0.648,-0.098249,-0.01965,-4.8108,0.01965
3.26,-0.993,0.652,-0.11813,-0.023626,-4.8308,0.023626
3.28,-0.99044,0.656,-0.13797,-0.027593,-4.8508,0.027593
3.3,-0.98748,0.66,-0.15775,-0.031549,-4.8708,0.031549
3.32,-0.98413,0.664,-0.17746,-0.035492,-4.8908,0.035492
3.34,-0.98038,0.668,-0.19711,-0.039422,-4.9108,0.039422
3.36,-0.97624,0.672,-0.21668,-0.043335,-4.9308,0.043335
3.38,-0.97172,0.676,-0.23616,-0.047231,-4.9508,0.047231
3.4,-0.9668,0.68,-0.25554,-0.051108,-4.9708,0.051108
3.42,-0.96149,0.684,-0.27482,-0.054965,-4.9908,0.054965
3.44,-0.95581,0.688,-0.294,-0.0588,-5.0108,0.0588
3.46,-0.94974,0.692,-0.31305,-0.062611,-5.0308,0.062611
3.48,-0.94328,0.696,-0.33199,-0.066397,-5.0508,0.066397
3.5,-0.93646,0.7,-0.35078,-0.070157,-5.0708,0.070157
3.52,-0.92925,0.704,-0.36944,-0.073888,-5.0908,0.073888
3.54,-0.92168,0.708,-0.38795,-0.07759,-5.1108,0.07759
3.56,-0.91374,0.712,-0.40631,-0.081261,-5.1308,0.081261
3.58,-0.90543,0.716,-0.4245,-0.0849,-5.1508,0.0849
3.6,-0.89676,0.72,-0.44252,-0.088504,-5.1708,0.088504
3.62,-0.88773,0.724,-0.46037,-0.092073,-5.1908,0.092073
3.64,-0.87835,0.728,-0.47803,-0.095605,-5.2108,0.095605
3.66,-0.86861,0.732,-0.4955,-0.099099,-5.2308,0.099099
3.68,-0.85853,0.736,-0.51277,-0.10255,-5.2508,0.10255
3.7,-0.8481,0.74,-0.52984,-0.10597,-5.2708,0.10597
3.72,-0.83733,0.744,-0.54669,-0.10934,-5.2908,0.10934
3.74,-0.82623,0.748,-0.56333,-0.11267,-5.3108,0.11267
3.76,-0.8148,0.752,-0.57974,-0.11595,-5.3308,0.11595
3.78,-0.80305,0.756,-0.59592,-0.11918,-5.3508,0.11918
3.8,-0.79097,0.76,-0.61186,-0.12237,-5.3708,0.12237
3.82,-0.77857,0.764,-0.62755,-0.12551,-5.3908,0.12551
3.84,-0.76587,0.768,-0.643,-0.1286,-5.4108,0.1286
3.86,-0.75285,0.772,-0.65819,-0.13164,-5.4308,0.13164
3.88,-0.73954,0.776,-0.67311,-0.13462,-5.4508,0.13462
3.9,-0.72593,0.78,-0.68777,-0.13755,-5.4708,0.13755
3.92,-0.71203,0.784,-0.70215,-0.14043,-5.4908,0.14043
3.94,-0.69785,0.788,-0.71625,-0.14325,-5.5108,0.14325
3.96,-0.68338,0.792,-0.73006,-0.14601,-5.5308,0.14601
3.98,-0.66865,0.796,-0.74358,-0.14872,-5.5508,0.14872
4,-0.65364,0.8,-0.7568,-0.15136,-5.5708,0.15136
4.02,-0.63838,0.804,-0.76972,-0.15394,-5.5908,0.15394
4.04,-0.62286,0.808,-0.78234,-0.15647,-5.6108,0.15647
4.06,-0.60709,0.812,-0.79464,-0.15893,-5.6308,0.15893
4.08,-0.59107,0.816,-0.80662,-0.16132,-5.6508,0.16132
4.1,-0.57482,0.82,-0.81828,-0.16366,-5.6708,0.16366
4.12,-0.55834,0.824,-0.82961,-0.16592,-5.6908,0.16592
4.14,-0.54164,0.828,-0.84061,-0.16812,-5.7108,0.16812
4.16,-0.52472,0.832,-0.85127,-0.17025,-5.7308,0.17025
4.18,-0.50759,0.836,-0.8616,-0.17232,-5.7508,0.17232
4.2,-0.49026,0.84,-0.87158,-0.17432,-5.7708,0.17432
4.22,-0.47273,0.844,-0.88121,-0.17624,-5.7908,0.17624
4.24,-0.45501,0.848,-0.89048,-0.1781,-5.8108,0.1781
4.26,-0.43712,0.852,-0.89941,-0.17988,-5.8308,0.17988
4.28,-0.41904,0.856,-0.90797,-0.18159,-5.8508,0.18159
4.3,-0.4008,0.86,-0.91617,-0.18323,-5.8708,0.18323
4.32,-0.3824,0.864,-0.924,-0.1848,-5.8908,0.1848
4.34,-0.36384,0.868,-0.93146,-0.18629,-5.9108,0.18629
4.36,-0.34514,0.872,-0.93855,-0.18771,-5.9308,0.18771
4.38,-0.3263,0.876,-0.94527,-0.18905,-5.9508,0.18905
4.4,-0.30733,0.88,-0.9516,-0.19032,-5.9708,0.19032
4.42,-0.28824,0.884,-0.95756,-0.19151,-5.9908,0.19151
4.44,-0.26903,0.888,-0.96313,-0.19263,-6.0108,0.19263
4.46,-0.24972,0.892,-0.96832,-0.19366,-6.0308,0.19366
4.48,-0.2303,0.896,-0.97312,-0.19462,-6.0508,0.19462
4.5,-0.2108,0.9,-0.97753,-0.19551,-6.0708,0.19551
4.52,-0.1912,0.904,-0.98155,-0.19631,-6.0908,0.19631
4.54,-0.17154,0.908,-0.98518,-0.19704,-6.1108,0.19704
4.56,-0.1518,0.912,-0.98841,-0.19768,-6.1308,0.19768
4.58,-0.132,0.916,-0.99125,-0.19825,-6.1508,0.19825
4.6,-0.11215,0.92,-0.99369,-0.19874,-6.1708,0.19874
4.62,-0.092258,0.924,-0.99574,-0.19915,-6.1908,0.19915
4.64,-0.072326,0.928,-0.99738,-0.19948,-6.2108,0.19948
4.66,-0.052365,0.932,-0.99863,-0.19973,-6.2308,0.19973
4.68,-0.032383,0.936,-0.99948,-0.1999,-6.2508,0.1999
4.7,-0.012389,0.94,-0.99992,-0.19998,-6.2708,0.19998
4.72,0.0076109,0.944,-0.99997,-0.19999,-6.2908,0.19999
4.74,0.027608,0.948,-0.99962,-0.19992,-6.3108,0.19992
4.76,0.047593,0.952,-0.99887,-0.19977,-6.3308,0.19977
4.78,0.06756,0.956,-0.99772,-0.19954,-6.3508,0.19954
4.8,0.087499,0.96,-0.99616,-0.19923,-6.3708,0.19923
4.82,0.1074,0.964,-0.99422,-0.19884,-6.3908,0.19884
4.84,0.12726,0.968,-0.99187,-0.19837,-6.4108,0.19837
4.86,0.14708,0.972,-0.98913,-0.19783,-6.4308,0.19783
4.88,0.16683,0.976,-0.98599,-0.1972,-6.4508,0.1972
4.9,0.18651,0.98,-0.98245,-0.19649,-6.4708,0.19649
4.92,0.20612,0.984,-0.97853,-0.19571,-6.4908,0.19571
4.94,0.22565,0.988,-0.97421,-0.19484,-6.5108,0.19484
4.96,0.24509,0.992,-0.9695,-0.1939,-6.5308,0.1939
4.98,0.26443,0.996,-0.96441,-0.19288,-6.5508,0.19288
5,0.28366,1,-0.95892,-0.19178,-6.5708,0.19178
5.02,0.30278,1.004,-0.95306,-0.19061,-6.5908,0.19061
5.04,0.32178,1.008,-0.94681,-0.18936,-6.6108,0.18936
5.06,0.34065,1.012,-0.94019,-0.18804,-6.6308,0.18804
5.08,0.35939,1.016,-0.93319,-0.18664,-6.6508,0.18664
5.1,0.37798,1.02,-0.92581,-0.18516,-6.6708,0.18516
5.12,0.39642,1.024,-0.91807,-0.18361,-6.6908,0.18361
5.14,0.4147,1.028,-0.90996,-0.18199,-6.7108,0.18199
5.16,0.43281,1.032,-0.90148,-0.1803,-6.7308,0.1803
5.18,0.45076,1.036,-0.89265,-0.17853,-6.7508,0.17853
5.2,0.46852,1.04,-0.88345,-0.17669,-6.7708,0.17669
5.22,0.48609,1.044,-0.87391,-0.17478,-6.7908,0.17478
5.24,0.50347,1.048,-0.86401,-0.1728,-6.8108,0.1728
5.26,0.52065,1.052,-0.85377,-0.17075,-6.8308,0.17075
5.28,0.53762,1.056,-0.84319,-0.16864,-6.8508,0.16864
5.3,0.55437,1.06,-0.83227,-0.16645,-6.8708,0.16645
5.32,0.57091,1.064,-0.82101,-0.1642,-6.8908,0.1642
5.34,0.58721,1.068,-0.80943,-0.16189,-6.9108,0.16189
5.36,0.60328,1.072,-0.79753,-0.15951,-6.9308,0.15951
5.38,0.61911,1.076,-0.7853,-0.15706,-6.9508,0.15706
5.4,0.63469,1.08,-0.77276,-0.15455,-6.9708,0.15455
5.42,0.65002,1.084,-0.75992,-0.15198,-6.9908,0.15198
5.44,0.66509,1.088,-0.74677,-0.14935,-7.0108,0.14935
5.46,0.67989,1.092,-0.73332,-0.14666,-7.0308,0.14666
5.48,0.69442,1.096,-0.71957,-0.14391,-7.0508,0.14391
5.5,0.70867,1.1,-0.70554,-0.14111,-7.0708,0.14111
5.52,0.72264,1.104,-0.69123,-0.13825,-7.0908,0.13825
5.54,0.73632,1.108,-0.67664,-0.13533,-7.1108,0.13533
5.56,0.7497,1.112,-0.66178,-0.13236,-7.1308,0.13236
5.58,0.76279,1.116,-0.64665,-0.12933,-7.1508,0.12933
5.6,0.77557,1.12,-0.63127,-0.12625,-7.1708,0.12625
5.62,0.78804,1.124,-0.61563,-0.12313,-7.1908,0.12313
5.64,0.80019,1.128,-0.59975,-0.11995,-7.2108,0.11995
5.66,0.81202,1.132,-0.58362,-0.11672,-7.2308,0.11672
5.68,0.82353,1.136,-0.56727,-0.11345,-7.2508,0.11345
